School Name,State,Region,Starting Median Salary
Bates College,Maine,Northeastern,"$47,300.00 "
Binghamton University,New York,Northeastern,"$53,600.00 "
Union College,New York,Northeastern,"$47,200.00 "
New York University (NYU),New York,Northeastern,"$50,300.00 "
Vassar College,New York,Northeastern,"$46,000.00 "
Middlebury College,Vermont,Northeastern,"$47,700.00 "
Mount Holyoke College,Massachusetts,Northeastern,"$42,400.00 "
Boston University,Massachusetts,Northeastern,"$49,000.00 "
Drexel University,Pennsylvania,Northeastern,"$53,400.00 "
"St. John's University, New York",New York,Northeastern,"$48,000.00 "
Long Island University,New York,Northeastern,"$47,300.00 "
Stony Brook University,New York,Northeastern,"$49,500.00 "
Franklin and Marshall College,Pennsylvania,Northeastern,"$49,100.00 "
Hofstra University,New York,Northeastern,"$46,800.00 "
State University of New York (SUNY) at Albany,New York,Northeastern,"$44,500.00 "
Rutgers University,New Jersey,Northeastern,"$50,300.00 "
Pratt Institute,New York,Northeastern,"$43,800.00 "
Pace University,New York,Northeastern,"$53,200.00 "
Seton Hall University,New Jersey,Northeastern,"$48,900.00 "
Rider University,New Jersey,Northeastern,"$43,600.00 "
University of Connecticut (UConn),Connecticut,Northeastern,"$48,000.00 "
Providence College,Rhode Island,Northeastern,"$48,000.00 "
University of Massachusetts (UMass) - Amherst,Massachusetts,Northeastern,"$46,600.00 "
Ithaca College,New York,Northeastern,"$42,700.00 "
University of Massachusetts (UMass) - Lowell,Massachusetts,Northeastern,"$45,400.00 "
Northeastern University,Massachusetts,Northeastern,"$50,500.00 "
Syracuse University,New York,Northeastern,"$45,700.00 "
Colby College,Maine,Northeastern,"$46,400.00 "
Gettysburg College,Pennsylvania,Northeastern,"$44,700.00 "
Pennsylvania State University (PSU),Pennsylvania,Northeastern,"$49,900.00 "
University of Rhode Island (URI),Rhode Island,Northeastern,"$43,900.00 "
Siena College,New York,Northeastern,"$45,500.00 "
La Salle University (Philadelphia),Pennsylvania,Northeastern,"$43,400.00 "
Rochester Institute of Technology (RIT),Rhode Island,Northeastern,"$48,900.00 "
Duquesne University,Pennsylvania,Northeastern,"$40,700.00 "
State University of New York (SUNY) at Farmingdale,New York,Northeastern,"$47,300.00 "
Smith College,Massachusetts,Northeastern,"$44,000.00 "
Hamilton College,New York,Northeastern,"$49,200.00 "
Wellesley College,Massachusetts,Northeastern,"$42,800.00 "
Widener University,Pennsylvania,Northeastern,"$52,900.00 "
University of New Haven,Connecticut,Northeastern,"$44,400.00 "
Dowling College,New York,Northeastern,"$41,100.00 "
University of Vermont (UVM),Vermont,Northeastern,"$44,800.00 "
State University of New York (SUNY) at Buffalo,New York,Northeastern,"$46,200.00 "
State University of New York (SUNY) at Geneseo,New York,Northeastern,"$42,300.00 "
Fashion Institute of Technology,New York,Northeastern,"$42,800.00 "
Philadelphia University,Pennsylvania,Northeastern,"$45,100.00 "
Ursinus College,Pennsylvania,Northeastern,"$42,100.00 "
Adelphi University,New York,Northeastern,"$40,600.00 "
Juniata College,Pennsylvania,Northeastern,"$41,800.00 "
Fairleigh Dickinson University,New Jersey,Northeastern,"$45,700.00 "
University of New Hampshire (UNH),New Hampshire,Northeastern,"$41,800.00 "
University of Massachusetts (UMass) - Boston,Massachusetts,Northeastern,"$45,600.00 "
State University of New York (SUNY) at Oswego,New York,Northeastern,"$38,000.00 "
University of Massachusetts (UMass) - Dartmouth,Massachusetts,Northeastern,"$43,200.00 "
State University of New York (SUNY) at Oneonta,New York,Northeastern,"$37,500.00 "
Quinnipiac University,Connecticut,Northeastern,"$43,000.00 "
State University of New York (SUNY) at Plattsburgh,New York,Northeastern,"$40,800.00 "
Sacred Heart University,Connecticut,Northeastern,"$46,000.00 "
Skidmore College,New York,Northeastern,"$41,600.00 "
Moravian College,Pennsylvania,Northeastern,"$42,500.00 "
Penn State - Harrisburg,Pennsylvania,Northeastern,"$45,700.00 "
Suffolk University,Massachusetts,Northeastern,"$42,100.00 "
Fitchburg State College,Massachusetts,Northeastern,"$42,400.00 "
Roger Williams University,Rhode Island,Northeastern,"$42,000.00 "
University Of Maine,Maine,Northeastern,"$41,200.00 "
State University of New York (SUNY) at Potsdam,New York,Northeastern,"$38,000.00 "
Niagara University,New York,Northeastern,"$36,900.00 "
State University of New York (SUNY) at Fredonia,New York,Northeastern,"$37,800.00 "
University of Southern Maine,Maine,Northeastern,"$39,400.00 "
Mercy College,New York,Northeastern,"$43,700.00 "
